User;Item;Quantity;RDNR;Date;ScanDate;DeliveryDate
Warehouse_IT;R-275344;2;42279325;2020-07-23 08:42:32;2020-07-24 08:54:00;2020-07-25 07:04:00
Warehouse_IT;R-375149;2;42281251;2020-07-23 13:28:51;2020-07-28 09:41:00;2020-07-29 07:04:17
Warehouse_IT;R-323708;4;42282174;2020-07-23 16:02:13;2020-07-27 09:41:00;2020-07-28 07:04:09
Warehouse_IT;R-367924;4;42283378;2020-07-23 19:13:05;2020-07-27 09:41:00;2020-07-28 07:04:10
Warehouse_IT;R-350406;4;42284109;2020-07-23 21:35:40;;2020-07-24 17:05:19
Warehouse_UK;R-398335;2;42279334;2020-07-23 08:45:12;2020-07-28 13:21:00;2020-07-28 12:20:52
Warehouse_UK;R-201798;2;42279378;2020-07-23 08:52:02;2020-07-29 13:20:00;2020-07-29 12:03:59
Warehouse_UK;R-397336;2;42280811;2020-07-23 12:21:50;2020-08-04 14:20:00;2020-08-04 12:26:11
Warehouse_UK;R-339181;2;42281109;2020-07-23 13:07:46;2020-07-24 11:57:00;2020-08-03 18:53:15
Warehouse_UK;R-348490;1;42281179;2020-07-23 13:19:21;2020-07-29 13:28:00;2020-07-29 12:03:58
Warehouse_UK;R-422820;4;42281408;2020-07-23 13:55:44;2020-07-29 13:27:00;2020-07-29 11:58:47
Warehouse_UK;R-237293;4;42281810;2020-07-23 15:02:37;2020-07-29 13:27:00;2020-07-29 11:43:33
Warehouse_UK;R-332435;4;42284275;2020-07-23 22:15:10;2020-07-28 13:19:00;2020-07-28 12:20:49
Warehouse_SK;R-367974;4;42279224;2020-07-23 08:21:38;2020-07-24 07:48:00;2020-07-24 11:26:16
Warehouse_SK;R-300276;1;42280304;2020-07-23 11:05:35;2020-07-24 07:22:00;2020-07-24 11:25:47
Warehouse_SK;R-196942;4;42280414;2020-07-23 11:20:42;2020-07-27 07:18:00;2020-07-27 12:37:52
Warehouse_SK;D-123368;2;42281451;2020-07-23 14:02:52;2020-07-24 07:22:00;2020-07-24 11:25:47
Warehouse_SK;R-377503;2;42282697;2020-07-23 17:14:25;2020-07-27 07:18:00;2020-07-27 12:37:51
Warehouse_SK;R-367974;2;42282942;2020-07-23 17:53:42;2020-07-27 08:44:00;2020-07-27 12:37:51
Warehouse_SK;R-349825;4;42283218;2020-07-23 18:39:41;2020-07-27 07:23:00;2020-07-27 12:37:50
Warehouse_ZGPL;R-339188;2;42279501;2020-07-23 09:14:10;2020-07-27 14:12:00;2020-07-28 05:30:14
Warehouse_ZGPL;R-234309;2;42280224;2020-07-23 10:56:39;2020-07-27 14:10:00;2020-07-28 05:30:13
Warehouse_ZGPL;R-252303;4;42280244;2020-07-23 10:59:24;2020-07-27 14:12:00;2020-07-28 05:30:15
Warehouse_ZGPL;R-277287;2;42280563;2020-07-23 11:40:52;2020-08-05 12:55:00;2020-08-06 02:46:26
Warehouse_ZGPL;R-341769;1;42280859;2020-07-23 12:25:29;2020-07-24 10:31:00;2020-07-27 03:43:30
Warehouse_ZGPL;R-412802;2;42280940;2020-07-23 12:38:46;2020-07-28 13:02:00;2020-07-29 06:07:14
Warehouse_ZGPL;R-393707;2;42280955;2020-07-23 12:40:43;2020-08-05 12:03:00;2020-08-04 00:03:33
Warehouse_ZGPL;R-124442;1;42281207;2020-07-23 13:22:44;2020-07-24 14:11:00;2020-07-23 17:52:53
Warehouse_ZGPL;R-364303;2;42281695;2020-07-23 14:43:18;2020-08-07 12:14:00;2020-08-06 10:24:21
Warehouse_ZGPL;R-412932;4;42282724;2020-07-23 17:19:47;2020-07-29 13:41:00;2020-07-30 05:37:15
